"scenario","model","year","ducks","discounted"
"rcp85_dry","greedy",2050,2343329.22437484,2009111.89374838
"rcp85_dry","greedy",2060,2336675.52218449,1903236.81704128
"rcp85_dry","greedy",2070,2328556.23389428,1801792.42568419
"rcp85_dry","greedy",2080,2320982.39287342,1706135.33528466
"rcp85_dry","greedy",2090,2312012.8638303,1614564.81186122
"rcp85_dry","greedy",2100,2304332.35699968,1528741.16611407
"rcp85_dry","myopic",2020,5107426.88812001,5107426.88812001
"rcp85_dry","myopic",2030,4159198.58720788,3951238.65784748
"rcp85_dry","myopic",2040,3241586.89051198,2925532.16868707
"rcp85_dry","myopic",2050,2349041.08399726,2014009.09939216
"rcp85_dry","myopic",2060,2342961.05599888,1908356.42361769
"rcp85_dry","myopic",2070,2335511.94744097,1807174.62423332
"rcp85_dry","myopic",2080,2327954.45739077,1711260.44337228
"rcp85_dry","myopic",2090,2319784.2669029,1619991.87246979
"rcp85_dry","myopic",2100,2311067.60832544,1533209.46945345
"rcp85_dry","rolling",2020,5107426.88812001,5107426.88812001
"rcp85_dry","rolling",2030,4160071.67537003,3952068.09160152
"rcp85_dry","rolling",2040,3243142.82220151,2926936.39703687
"rcp85_dry","rolling",2050,2350859.59603752,2015568.24615267
"rcp85_dry","rolling",2060,2345281.3732795,1910246.33654474
"rcp85_dry","rolling",2070,2338622.26176234,1809581.32616483
"rcp85_dry","rolling",2080,2332433.33023838,1714552.8264817
"rcp85_dry","rolling",2090,2324934.24615471,1623588.29505544
"rcp85_dry","rolling",2100,2317294.18320162,1537340.30644326
"stationary","greedy",2020,5107426.88812001,5107426.88812001
"stationary","greedy",2030,5107425.16717475,4852053.90881601
"stationary","greedy",2040,5107423.54994127,4609449.75382201
"stationary","greedy",2050,5107422.02671496,4378975.96015473
"stationary","greedy",2060,5107420.58870993,4160025.99088292
"stationary","greedy",2070,5107419.23730253,3952023.64564549
"stationary","greedy",2080,5107417.96662785,3754421.52930056
"stationary","greedy",2090,5107416.74630655,3566699.60063965
"stationary","greedy",2100,5107415.60228953,3388363.86164341
"stationary","myopic",2020,5107426.88812001,5107426.88812001
"stationary","myopic",2030,5107425.16849712,4852053.91007226
"stationary","myopic",2040,5107423.5560222,4609449.75931004
"stationary","myopic",2050,5107422.03780662,4378975.96966445
"stationary","myopic",2060,5107420.60958289,4160026.00788407
"stationary","myopic",2070,5107419.26879076,3952023.67001048
"stationary","myopic",2080,5107417.99906007,3754421.55314122
"stationary","myopic",2090,5107416.79949853,3566699.6377856
"stationary","myopic",2100,5107415.48848767,3388363.78614493
"stationary","rolling",2020,5107426.88812001,5107426.88812001
"stationary","rolling",2030,5107425.16849712,4852053.91007226
"stationary","rolling",2040,5107423.5560222,4609449.75931004
"stationary","rolling",2050,5107422.03780662,4378975.96966445
"stationary","rolling",2060,5107420.60958289,4160026.00788407
"stationary","rolling",2070,5107419.26879076,3952023.67001048
"stationary","rolling",2080,5107417.99906007,3754421.55314122
"stationary","rolling",2090,5107416.79949853,3566699.6377856
"stationary","rolling",2100,5107415.66379946,3388363.90245035
