"eau_id","cell_id","wmd_id_num","wmd_id","area_km2","x_coord","y_coord"
233,447,4,"Bowdoin",40405.9523908,-934094.885217059,2913305.46545761
234,448,4,"Bowdoin",40405.9523908,-915581.348385295,2913305.46545761
235,449,4,"Bowdoin",40405.9523908,-897067.81155353,2913305.46545761
236,450,4,"Bowdoin",40405.9523908,-878554.274721765,2913305.46545761
237,451,4,"Bowdoin",40405.9523908,-860040.73789,2913305.46545761
238,452,4,"Bowdoin",40405.9523908,-841527.201058236,2913305.46545761
239,453,4,"Bowdoin",40405.9523908,-823013.664226471,2913305.46545761
240,454,4,"Bowdoin",40405.9523908,-804500.127394706,2913305.46545761
241,455,4,"Bowdoin",40405.9523908,-785986.590562942,2913305.46545761
242,456,4,"Bowdoin",40405.9523908,-767473.053731177,2913305.46545761
243,527,4,"Bowdoin",40405.9523908,-1026662.56937588,2894820.25437717
244,528,4,"Bowdoin",40405.9523908,-1008149.03254412,2894820.25437717
245,529,4,"Bowdoin",40405.9523908,-989635.495712353,2894820.25437717
246,530,4,"Bowdoin",40405.9523908,-971121.958880589,2894820.25437717
247,531,4,"Bowdoin",40405.9523908,-952608.422048824,2894820.25437717
248,532,4,"Bowdoin",40405.9523908,-934094.885217059,2894820.25437717
249,533,4,"Bowdoin",40405.9523908,-915581.348385295,2894820.25437717
250,534,4,"Bowdoin",40405.9523908,-897067.81155353,2894820.25437717
251,535,4,"Bowdoin",40405.9523908,-878554.274721765,2894820.25437717
252,536,4,"Bowdoin",40405.9523908,-860040.73789,2894820.25437717
253,537,4,"Bowdoin",40405.9523908,-841527.201058236,2894820.25437717
254,538,4,"Bowdoin",40405.9523908,-823013.664226471,2894820.25437717
255,539,4,"Bowdoin",40405.9523908,-804500.127394706,2894820.25437717
256,540,4,"Bowdoin",40405.9523908,-785986.590562942,2894820.25437717
257,541,4,"Bowdoin",40405.9523908,-767473.053731177,2894820.25437717
258,542,4,"Bowdoin",40405.9523908,-748959.516899412,2894820.25437717
259,613,4,"Bowdoin",40405.9523908,-1008149.03254412,2876335.04329674
260,614,4,"Bowdoin",40405.9523908,-989635.495712353,2876335.04329674
261,615,4,"Bowdoin",40405.9523908,-971121.958880589,2876335.04329674
262,616,4,"Bowdoin",40405.9523908,-952608.422048824,2876335.04329674
263,617,4,"Bowdoin",40405.9523908,-934094.885217059,2876335.04329674
264,618,4,"Bowdoin",40405.9523908,-915581.348385295,2876335.04329674
265,619,4,"Bowdoin",40405.9523908,-897067.81155353,2876335.04329674
266,620,4,"Bowdoin",40405.9523908,-878554.274721765,2876335.04329674
267,621,4,"Bowdoin",40405.9523908,-860040.73789,2876335.04329674
268,622,4,"Bowdoin",40405.9523908,-841527.201058236,2876335.04329674
269,623,4,"Bowdoin",40405.9523908,-823013.664226471,2876335.04329674
270,624,4,"Bowdoin",40405.9523908,-804500.127394706,2876335.04329674
271,625,4,"Bowdoin",40405.9523908,-785986.590562942,2876335.04329674
272,626,4,"Bowdoin",40405.9523908,-767473.053731177,2876335.04329674
273,627,4,"Bowdoin",40405.9523908,-748959.516899412,2876335.04329674
274,628,4,"Bowdoin",40405.9523908,-730445.980067647,2876335.04329674
275,698,4,"Bowdoin",40405.9523908,-1008149.03254412,2857849.8322163
276,699,4,"Bowdoin",40405.9523908,-989635.495712353,2857849.8322163
277,700,4,"Bowdoin",40405.9523908,-971121.958880589,2857849.8322163
278,701,4,"Bowdoin",40405.9523908,-952608.422048824,2857849.8322163
279,702,4,"Bowdoin",40405.9523908,-934094.885217059,2857849.8322163
280,703,4,"Bowdoin",40405.9523908,-915581.348385295,2857849.8322163
281,704,4,"Bowdoin",40405.9523908,-897067.81155353,2857849.8322163
282,705,4,"Bowdoin",40405.9523908,-878554.274721765,2857849.8322163
283,706,4,"Bowdoin",40405.9523908,-860040.73789,2857849.8322163
284,707,4,"Bowdoin",40405.9523908,-841527.201058236,2857849.8322163
285,708,4,"Bowdoin",40405.9523908,-823013.664226471,2857849.8322163
286,709,4,"Bowdoin",40405.9523908,-804500.127394706,2857849.8322163
