eau_id,wmd_id,year,rcp,gcm,prop_suitable,abs_abundance,scaled_abundance,cost,cell_id,total_prop_suitable,habitat_share,trans_prob
1123,Waubay,2040,stationary,stationary,0.372682683744846,229127.50232424244,5698.350911708108,NA,NA,14.985362223042788,0.024869781470599147,3.6120959776963225e-7
1123,Waubay,2050,45,dry,0.352484359172632,148388.3110625,3668.7503480238956,NA,2617,14.256777859454887,0.02472398480550565,0.0036478996932322477
1123,Waubay,2050,45,wet,0.352484359172632,207810.1369,5137.894667145649,NA,2617,14.256777859454887,0.02472398480550565,0.0036478996932322477
1123,Waubay,2050,85,dry,0.352697706442754,120590.52591249999,2957.9209515753614,NA,2617,14.379019116590012,0.024528634643501076,0.003444679748429744
1123,Waubay,2050,85,wet,0.352697706442754,269371.6948625,6607.319886582918,NA,2617,14.379019116590012,0.024528634643501076,0.003444679748429744
1123,Waubay,2050,stationary,stationary,0.372682683744846,229127.50232424244,5698.350911708108,NA,NA,14.985362223042788,0.024869781470599147,3.6120959776963225e-7
1123,Waubay,2060,45,dry,0.351198531586937,141635.4369875,3489.7476986777406,NA,2617,14.253797634004131,0.024638944694227387,7.850554416219765e-4
1123,Waubay,2060,45,wet,0.351198531586937,209945.69590000002,5172.840390071182,NA,2617,14.253797634004131,0.024638944694227387,7.850554416219765e-4
1123,Waubay,2060,85,dry,0.351482775796053,118418.5155375,2887.3622507794203,NA,2617,14.41525687867291,0.024382692501030968,7.844205670892054e-4
1123,Waubay,2060,85,wet,0.351482775796053,246794.6385875,6017.517783582084,NA,2617,14.41525687867291,0.024382692501030968,7.844205670892054e-4
1123,Waubay,2060,stationary,stationary,0.372682683744846,229127.50232424244,5698.350911708108,NA,NA,14.985362223042788,0.024869781470599147,3.6120959776963225e-7
1123,Waubay,2070,45,dry,0.350922821268625,134882.5629125,3322.03169405793,NA,2617,14.24831966590259,0.024629067110868687,3.6120959776963225e-7
1123,Waubay,2070,45,wet,0.350922821268625,212081.2549,5223.363459889349,NA,2617,14.24831966590259,0.024629067110868687,3.6120959776963225e-7
1123,Waubay,2070,85,dry,0.351207065477741,116246.50516249999,2833.224270689234,NA,2617,14.409940777555486,0.0243725543983339,3.6120959776963225e-7
1123,Waubay,2070,85,wet,0.351207065477741,224217.5823125,5464.755221974316,NA,2617,14.409940777555486,0.0243725543983339,3.6120959776963225e-7
1123,Waubay,2070,stationary,stationary,0.372682683744846,229127.50232424244,5698.350911708108,NA,NA,14.985362223042788,0.024869781470599147,3.6120959776963225e-7
1123,Waubay,2080,45,dry,0.350983214957398,128129.6888375,3154.611837513142,NA,2617,14.255753936157424,0.024620459677491036,3.6120959776963225e-7
1123,Waubay,2080,45,wet,0.350983214957398,214216.8139,5274.116428865552,NA,2617,14.255753936157424,0.024620459677491036,3.6120959776963225e-7
1123,Waubay,2080,85,dry,0.351209691290297,114074.4947875,2782.889761383084,NA,2617,14.39657030413695,0.024395372222047535,3.6120959776963225e-7
1123,Waubay,2080,85,wet,0.351209691290297,201640.52603749998,4919.09568773428,NA,2617,14.39657030413695,0.024395372222047535,3.6120959776963225e-7
1123,Waubay,2080,stationary,stationary,0.372682683744846,229127.50232424244,5698.350911708108,NA,NA,14.985362223042788,0.024869781470599147,3.6120959776963225e-7
1123,Waubay,2090,45,dry,0.350983214957398,124753.2518,3075.5265094995075,NA,2617,14.237008609065546,0.024652876499204068,3.6120959776963225e-7
1123,Waubay,2090,45,wet,0.350983214957398,215284.5934,5307.384493271564,NA,2617,14.237008609065546,0.024652876499204068,3.6120959776963225e-7
1123,Waubay,2090,85,dry,0.351209691290297,112988.4896,2759.990469739597,NA,2617,14.377822310204197,0.024427182622853618,3.6120959776963225e-7
