alignment,scenario,wmd_id,year,wmd_total
current,rcp45_wet,Waubay,2030,229967.98200000013
current,rcp45_wet,Waubay,2040,218355.16970000006
current,rcp45_wet,Waubay,2050,206742.3574
current,rcp45_wet,Waubay,2060,208450.80459999992
current,rcp45_wet,Waubay,2070,210159.2518
current,rcp45_wet,Waubay,2080,211867.69900000005
current,rcp45_wet,Waubay,2090,213576.14620000005
current,rcp45_wet,Waubay,2100,215284.59340000007
current,rcp45_dry,Arrowwood,2020,377952.1344999999
current,rcp45_dry,Arrowwood,2030,325719.4731333333
current,rcp45_dry,Arrowwood,2040,273486.8117666666
current,rcp45_dry,Arrowwood,2050,221254.15040000007
current,rcp45_dry,Arrowwood,2060,207673.33419999998
current,rcp45_dry,Arrowwood,2070,194092.51800000004
current,rcp45_dry,Arrowwood,2080,180511.70179999995
current,rcp45_dry,Arrowwood,2090,166930.88559999998
current,rcp45_dry,Arrowwood,2100,153350.06939999995
current,rcp45_dry,Audubon,2020,470658.92409999995
current,rcp45_dry,Audubon,2030,406908.8951666667
current,rcp45_dry,Audubon,2040,343158.86623333336
current,rcp45_dry,Audubon,2050,279408.83729999996
current,rcp45_dry,Audubon,2060,260669.68143999987
current,rcp45_dry,Audubon,2070,241930.52558000007
current,rcp45_dry,Audubon,2080,223191.36972
current,rcp45_dry,Audubon,2090,204452.21386000002
current,rcp45_dry,Audubon,2100,185713.05799999993
current,rcp45_dry,Crosby Lostwood,2020,485444.33930000017
current,rcp45_dry,Crosby Lostwood,2030,421674.6477666666
current,rcp45_dry,Crosby Lostwood,2040,357904.9562333333
current,rcp45_dry,Crosby Lostwood,2050,294135.26470000006
current,rcp45_dry,Crosby Lostwood,2060,279092.77304
current,rcp45_dry,Crosby Lostwood,2070,264050.2813800001
current,rcp45_dry,Crosby Lostwood,2080,249007.78972
current,rcp45_dry,Crosby Lostwood,2090,233965.29806
current,rcp45_dry,Crosby Lostwood,2100,218922.80639999988
current,rcp45_dry,Detroit Lakes,2020,69934.98651999999
current,rcp45_dry,Detroit Lakes,2030,63977.51273000001
current,rcp45_dry,Detroit Lakes,2040,58020.03894000001
current,rcp45_dry,Detroit Lakes,2050,52062.565149999995
current,rcp45_dry,Detroit Lakes,2060,50815.60580400002
current,rcp45_dry,Detroit Lakes,2070,49568.64645799999
current,rcp45_dry,Detroit Lakes,2080,48321.68711199999
current,rcp45_dry,Detroit Lakes,2090,47074.727766
current,rcp45_dry,Detroit Lakes,2100,45827.768420000015
current,rcp45_dry,Devils Lake,2020,480253.87460000004
current,rcp45_dry,Devils Lake,2030,419106.37863333325
current,rcp45_dry,Devils Lake,2040,357958.8826666667
current,rcp45_dry,Devils Lake,2050,296811.38670000003
current,rcp45_dry,Devils Lake,2060,287259.97208000015
current,rcp45_dry,Devils Lake,2070,277708.5574599998
current,rcp45_dry,Devils Lake,2080,268157.1428400001
current,rcp45_dry,Devils Lake,2090,258605.7282199999
current,rcp45_dry,Devils Lake,2100,249054.31359999988
current,rcp45_dry,Fergus Falls,2020,28446.327889999997
current,rcp45_dry,Fergus Falls,2030,25408.054729999996
current,rcp45_dry,Fergus Falls,2040,22369.781570000003
current,rcp45_dry,Fergus Falls,2050,19331.508409999995
current,rcp45_dry,Fergus Falls,2060,19075.226472
current,rcp45_dry,Fergus Falls,2070,18818.944534000002
current,rcp45_dry,Fergus Falls,2080,18562.66259600001
current,rcp45_dry,Fergus Falls,2090,18306.380658
current,rcp45_dry,Fergus Falls,2100,18050.098720000005
current,rcp45_dry,Huron,2020,444778.8755000001
current,rcp45_dry,Huron,2030,391997.4471666668
current,rcp45_dry,Huron,2040,339216.01883333345
current,rcp45_dry,Huron,2050,286434.5904999999
current,rcp45_dry,Huron,2060,279022.7056
current,rcp45_dry,Huron,2070,271610.82070000004
current,rcp45_dry,Huron,2080,264198.9357999999
current,rcp45_dry,Huron,2090,256787.05090000003
current,rcp45_dry,Huron,2100,249375.1659999999
current,rcp45_dry,Iowa,2020,24762.087509999994
current,rcp45_dry,Iowa,2030,23219.992503333327
current,rcp45_dry,Iowa,2040,21677.897496666665
current,rcp45_dry,Iowa,2050,20135.802489999995
current,rcp45_dry,Iowa,2060,19722.301253999998
current,rcp45_dry,Iowa,2070,19308.800017999998
current,rcp45_dry,Iowa,2080,18895.298782000005
current,rcp45_dry,Iowa,2090,18481.797545999998
current,rcp45_dry,Iowa,2100,18068.29631
current,rcp45_dry,J. Clark Salyer,2020,430328.18189999985
current,rcp45_dry,J. Clark Salyer,2030,387023.4741333335
current,rcp45_dry,J. Clark Salyer,2040,343718.7663666667
current,rcp45_dry,J. Clark Salyer,2050,300414.0586
current,rcp45_dry,J. Clark Salyer,2060,290145.0074000001
current,rcp45_dry,J. Clark Salyer,2070,279875.9562
current,rcp45_dry,J. Clark Salyer,2080,269606.9049999999
current,rcp45_dry,J. Clark Salyer,2090,259337.85380000007
current,rcp45_dry,J. Clark Salyer,2100,249068.80260000005
current,rcp45_dry,Kulm,2020,310941.1253999999
current,rcp45_dry,Kulm,2030,277259.3815
current,rcp45_dry,Kulm,2040,243577.63759999996
current,rcp45_dry,Kulm,2050,209895.89370000004
current,rcp45_dry,Kulm,2060,197289.52831999998
current,rcp45_dry,Kulm,2070,184683.16293999998
current,rcp45_dry,Kulm,2080,172076.79756
current,rcp45_dry,Kulm,2090,159470.43217999997
current,rcp45_dry,Kulm,2100,146864.06679999997
current,rcp45_dry,Lake Andes,2020,297006.4000000001
current,rcp45_dry,Lake Andes,2030,249297.14316666662
current,rcp45_dry,Lake Andes,2040,201587.88633333336
current,rcp45_dry,Lake Andes,2050,153878.6295
current,rcp45_dry,Lake Andes,2060,154142.1975
current,rcp45_dry,Lake Andes,2070,154405.7655
current,rcp45_dry,Lake Andes,2080,154669.3335
current,rcp45_dry,Lake Andes,2090,154932.90150000007
current,rcp45_dry,Lake Andes,2100,155196.4694999999
current,rcp45_dry,Litchfield,2020,35323.88878999998
current,rcp45_dry,Litchfield,2030,32959.24107
current,rcp45_dry,Litchfield,2040,30594.593350000006
current,rcp45_dry,Litchfield,2050,28229.945630000002
current,rcp45_dry,Litchfield,2060,27621.625993999987
current,rcp45_dry,Litchfield,2070,27013.306358
current,rcp45_dry,Litchfield,2080,26404.986721999994
current,rcp45_dry,Litchfield,2090,25796.667085999998
current,rcp45_dry,Litchfield,2100,25188.347449999997
current,rcp45_dry,Long Lake,2020,227646.6724
current,rcp45_dry,Long Lake,2030,190188.45633333325
current,rcp45_dry,Long Lake,2040,152730.2402666666
current,rcp45_dry,Long Lake,2050,115272.0242
current,rcp45_dry,Long Lake,2060,110558.39417000003
current,rcp45_dry,Long Lake,2070,105844.76414000001
current,rcp45_dry,Long Lake,2080,101131.13411000001
current,rcp45_dry,Long Lake,2090,96417.50407999998
current,rcp45_dry,Long Lake,2100,91703.87405
current,rcp45_dry,Madison,2020,164211.01240000007
current,rcp45_dry,Madison,2030,141594.4397566667
current,rcp45_dry,Madison,2040,118977.86711333338
current,rcp45_dry,Madison,2050,96361.29446999998
current,rcp45_dry,Madison,2060,93207.724042
current,rcp45_dry,Madison,2070,90054.15361400001
current,rcp45_dry,Madison,2080,86900.58318600002
current,rcp45_dry,Madison,2090,83747.01275800003
current,rcp45_dry,Madison,2100,80593.44232999998
current,rcp45_dry,Morris,2020,47375.36669
current,rcp45_dry,Morris,2030,44282.629930000025
current,rcp45_dry,Morris,2040,41189.89317000001
current,rcp45_dry,Morris,2050,38097.15641000001
current,rcp45_dry,Morris,2060,37209.023434
current,rcp45_dry,Morris,2070,36320.890458
current,rcp45_dry,Morris,2080,35432.757482000015
