alignment,scenario,year,n_eau,mean_b,median_b,sd_b,p10_b,p90_b,total_b
current,rcp85_dry,2080,841,2876.9030415552916,1997.8965532792854,2740.0682635611715,392.3119886855834,6425.492264690366,2419475.457948003
current,rcp85_dry,2090,841,2868.9810539881096,2010.0649652101122,2735.5744026275243,396.4062346001377,6382.713886073942,2412813.0664039985
current,rcp85_dry,2100,841,2861.0590664209276,1999.8055780363009,2731.8437566752623,397.44600704983503,6356.155448554433,2406150.6748599987
current,stationary,2020,841,6073.0402950297275,4392.930150924251,5761.619648016946,684.0317600545457,14034.022768221439,5107426.888120006
current,stationary,2030,841,6073.0402950297275,4392.930150924251,5761.619648016946,684.0317600545457,14034.022768221439,5107426.888120006
current,stationary,2040,841,6073.0402950297275,4392.930150924251,5761.619648016946,684.0317600545457,14034.022768221439,5107426.888120006
current,stationary,2050,841,6073.0402950297275,4392.930150924251,5761.619648016946,684.0317600545457,14034.022768221439,5107426.888120006
current,stationary,2060,841,6073.0402950297275,4392.930150924251,5761.619648016946,684.0317600545457,14034.022768221439,5107426.888120006
current,stationary,2070,841,6073.0402950297275,4392.930150924251,5761.619648016946,684.0317600545457,14034.022768221439,5107426.888120006
current,stationary,2080,841,6073.0402950297275,4392.930150924251,5761.619648016946,684.0317600545457,14034.022768221439,5107426.888120006
current,stationary,2090,841,6073.0402950297275,4392.930150924251,5761.619648016946,684.0317600545457,14034.022768221439,5107426.888120006
current,stationary,2100,841,6073.0402950297275,4392.930150924251,5761.619648016946,684.0317600545457,14034.022768221439,5107426.888120006
midpoint,rcp45_wet,2020,841,5657.614938801571,4053.6443058554055,5372.524469487969,644.6290402446741,12965.911101944313,4758054.163532125
midpoint,rcp45_wet,2030,841,5242.242787577559,3781.2475800957573,4991.404614600146,618.9915113809317,12048.54392129715,4408726.184352728
midpoint,rcp45_wet,2040,841,4780.688616770799,3364.713122174526,4597.037916901367,581.6791120909319,11195.089466169366,4020559.126704242
midpoint,rcp45_wet,2050,841,4587.472561154875,3217.1161698479136,4451.344242750501,572.0589324392406,10643.077263364561,3858064.4239312494
midpoint,rcp45_wet,2060,841,4662.594620729786,3269.180952472283,4535.656321987883,576.5642142824538,10787.34610876618,3921242.0760337515
midpoint,rcp45_wet,2070,841,4737.716680304697,3308.3930315452412,4625.947906746902,575.4157022032797,11099.55845157757,3984419.728136245
midpoint,rcp45_wet,2080,841,4812.838739879608,3364.0408050943893,4724.461625030829,569.7564763969889,11158.62323343266,4047597.3802387514
midpoint,rcp45_wet,2090,841,4850.399769667063,3378.061349248435,4773.259782842104,569.8395819359679,11256.326000224522,4079186.206290002
midpoint,rcp45_wet,2100,841,4850.399769667063,3363.115905912266,4774.765443280335,570.4197819364025,11228.426812148404,4079186.206289992
midpoint,rcp45_dry,2020,841,5657.614938801571,4053.6443058554055,5372.524469487969,644.6290402446741,12965.911101944313,4758054.163532125
midpoint,rcp45_dry,2030,841,4815.935186055562,3366.899762690605,4617.31778420122,564.3121840652811,11045.8835114342,4050201.4914727323
midpoint,rcp45_dry,2040,841,4117.543458847692,2819.7482228149834,3999.7308391823813,487.7116102870548,9455.068874755465,3462854.04889091
midpoint,rcp45_dry,2050,841,3668.731799279132,2527.2833591110107,3582.439211409537,452.9173058237431,8470.086348546933,3085403.443193751
midpoint,rcp45_dry,2060,841,3469.5002073498813,2419.32416557653,3355.7570504596106,446.82987159743664,8019.513200608293,2917849.674381247
midpoint,rcp45_dry,2070,841,3270.2686154206303,2310.4778648980964,3133.9938934834304,429.24642275034364,7446.673846470401,2750295.90556875
midpoint,rcp45_dry,2080,841,3071.0370234913794,2188.386295290781,2919.3813878344217,415.55273789168285,6836.525818236876,2582742.136756248
midpoint,rcp45_dry,2090,841,2971.421227526754,2143.634621812129,2812.875561894787,408.31200986435294,6626.104970111219,2498965.252349996
midpoint,rcp45_dry,2100,841,2971.4212275267537,2147.255360372947,2813.905599557383,405.2497990794513,6603.103850691042,2498965.2523499997
midpoint,rcp85_wet,2020,841,5657.614938801571,4053.6443058554055,5372.524469487969,644.6290402446741,12965.911101944313,4758054.163532125
midpoint,rcp85_wet,2030,841,6152.4990458242355,4359.372202309648,5971.62053017913,681.9002258085449,14170.13907571815,5174251.697538177
