"scenario","model","year","ducks","discounted"
"stationary","greedy",2040,4758051.05951824,4294141.08121521
"stationary","greedy",2050,4758049.64311321,4079432.81276419
"stationary","greedy",2060,4758048.305008,3875460.08223092
"stationary","greedy",2070,4758047.04627743,3681686.10413765
"stationary","greedy",2080,4758045.86227638,3497600.9285812
"stationary","greedy",2090,4758044.72725111,3322720.08952166
"stationary","greedy",2100,4758043.6620725,3156583.37838433
"stationary","myopic",2020,4758054.16353212,4758054.16353212
"stationary","myopic",2030,4758052.56275327,4520149.93461561
"stationary","myopic",2040,4758051.06095028,4294141.08250762
"stationary","myopic",2050,4758049.64740387,4079432.81644289
"stationary","myopic",2060,4758048.31809927,3875460.09289385
"stationary","myopic",2070,4758047.06643499,3681686.11973519
"stationary","myopic",2080,4758045.88275877,3497600.94363764
"stationary","myopic",2090,4758044.76386268,3322720.11508889
"stationary","myopic",2100,4758043.51427291,3156583.28033106
"stationary","rolling",2020,4758054.16353212,4758054.16353212
"stationary","rolling",2030,4758052.56275327,4520149.93461561
"stationary","rolling",2040,4758051.06095028,4294141.08250762
"stationary","rolling",2050,4758049.64740387,4079432.81644289
"stationary","rolling",2060,4758048.31809927,3875460.09289385
"stationary","rolling",2070,4758047.06643499,3681686.11973519
"stationary","rolling",2080,4758045.88275877,3497600.94363764
"stationary","rolling",2090,4758044.76386268,3322720.11508889
"stationary","rolling",2100,4758043.7042496,3156583.40636548
