"rcp45_2014","rcp45_2020","rcp45_2030","rcp45_2040","rcp45_2050","rcp45_2060","rcp45_2070","rcp45_2080","rcp45_2090","rcp45_2100"
0.517215981710183,0.517830175678207,0.530603522910327,0.544228864260014,0.549253643782916,0.552593267070103,0.544136960820577,0.543347288722878,0.547376885287304,0.538239057594702
0.783585300082379,0.783496268625424,0.782338367345159,0.783464840931403,0.78374670549789,0.78188114773396,0.780510719749997,0.781691678946763,0.782581665289741,0.778952792338253
0.81409436999301,0.814864963921362,0.816588481637377,0.81507191077338,0.80783558165406,0.802307179488707,0.800120123800031,0.797852570545206,0.792194190658364,0.793549109936922
0.886964114782824,0.886022843038375,0.883272058216724,0.88485796694351,0.876417538654279,0.877314335698572,0.878206619627536,0.879353935600937,0.874293830693502,0.87451439894815
0.959913208345795,0.954036147507078,0.943021930573755,0.941507247012532,0.941863454896993,0.935231390891972,0.933078224596589,0.934844739993197,0.935564294690004,0.935577423752781
0.778373390386588,0.77888542383488,0.781114738694368,0.774313966232666,0.773402809275961,0.773520970840952,0.778416880407036,0.777259717636552,0.777049652632124,0.775224712906159
0.357015691076735,0.355889217490492,0.356800374447197,0.35625683124824,0.356420452193095,0.356370561754544,0.369946258835606,0.366660464705803,0.365056093234487,0.362158591136306
0.560280005099308,0.55849227806065,0.557993373675135,0.557111100656539,0.557276526847525,0.55552650483603,0.558164625887729,0.554037751173792,0.540523719659458,0.517982185608169
0.470437623376559,0.475705864957326,0.470233671591986,0.471277021799524,0.47294375631903,0.473114434135127,0.470787964211091,0.47149955941359,0.470273304950244,0.465316263185606
0.340675095431536,0.35290666368251,0.360972298257786,0.370332458422848,0.371275125130217,0.373287892510532,0.378309266682776,0.386197207599033,0.390089851627369,0.392748691981262
0.281442261977981,0.284312275100974,0.286381415394586,0.288525083633616,0.288530335258727,0.290455055861795,0.293535133989215,0.293543011426882,0.299120360379399,0.298322113362574
0.395662318209666,0.411500727203656,0.414437452376882,0.415445764398135,0.416821690177136,0.413673340923277,0.416527599170937,0.416698276987035,0.410519986214234,0.420014924414363
0.333265339598599,0.333233829847935,0.333113042470389,0.3331182940955,0.333134048970832,0.336820689798537,0.340550410363478,0.3419368393927,0.341844546184212,0.340521136656318
0.146220915900322,0.146226167525433,0.146247174025876,0.146320696777425,0.146257677276097,0.148985896521101,0.149004277208988,0.149085677398204,0.146706691223061,0.143413922278658
0.292132416716486,0.292589308101116,0.29258143066345,0.294668951644949,0.295323845707581,0.295557543025007,0.295877892156759,0.296539596920706,0.295822750093097,0.298367162459226
0.275005267125997,0.275877036894372,0.272617726545889,0.272136382281837,0.27334056350839,0.272182580171483,0.272390019363355,0.275336181050452,0.274843225771507,0.278579757037764
0.291305942214691,0.293764133563866,0.294005708318958,0.294520367579806,0.294974633151881,0.295259123530924,0.297805464228149,0.303664000779855,0.306000973954112,0.307158957291019
0.388440554144364,0.397983208282022,0.401265473976204,0.405332857624434,0.416390441493242,0.425813703216274,0.433325619568942,0.444851213497419,0.447548743558182,0.463327251203253
0.439785241540055,0.439469938891808,0.441259840431488,0.445735907186964,0.447530485955258,0.452219776895893,0.453998641817176,0.457471360978263,0.452449084182953,0.453117968903106
0.220088141234598,0.220973040065749,0.220338126795531,0.224913461574096,0.218197699793873,0.214043171991463,0.213520635292949,0.210437172329032,0.214015108619778,0.213036131848167
0.0777766140461923,0.0804917042284195,0.07973547021248,0.0814926516660208,0.0824070344744782,0.0836306631252692,0.0832098664061948,0.0831428363864714,0.0814449357284916,0.0830411169211927
0.145207065055711,0.144158729907149,0.143488337396193,0.142823596536479,0.143243726545334,0.143296242796441,0.145741264054519,0.145132044770438,0.150488466470496,0.152490207489494
0.39696238262281,0.395956696414113,0.39687523846863,0.398910448340629,0.410559537515849,0.411678708060923,0.413734350036868,0.422642049875986,0.41963496113194,0.421541301047121
0.526542498651879,0.516035678966555,0.521518334553795,0.52610341355864,0.531006010741076,0.535086318310477,0.536598211945859,0.538102802540072,0.532524838162737,0.533830113172671
0.35793312536658,0.361588010273694,0.362072144463585,0.368076803381164,0.377985142945475,0.382637672510335,0.384781730518417,0.396347655286611,0.404350188303917,0.40566239710013
0.227996945052174,0.226363689642749,0.224226278222698,0.224215077491017,0.228845636389887,0.241992895227056,0.258093270051762,0.27936235175006,0.287868589466459,0.301195018982209
0.193519903115525,0.196171973796424,0.198699256838462,0.203629363510248,0.220110891438691,0.23135987242579,0.251774539335572,0.266788648328788,0.276806984822176,0.281749420504475
0.400580711295755,0.412638483578223,0.428835151872732,0.443924835033557,0.456800712040299,0.474392425311478,0.488241617181509,0.506736774085011,0.518223883448224,0.522438969052692
0.46120789224452,0.46263190321594,0.476247602910151,0.48842985511907,0.491606390829578,0.500655925575007,0.515730592370281,0.526431558071416,0.534099915412733,0.533672236192781
0.627994172078307,0.632208108889782,0.635135356520817,0.634284306054637,0.632742420716474,0.638049967428929,0.642790666855999,0.651172711844195,0.651453591730975,0.65454954781869
0.623400887409227,0.625033240195585,0.633887931443743,0.642417350161607,0.641899326578423,0.6514586792428,0.659574040143344,0.66728071793664,0.672193038831195,0.674654984271758
0.429295899919553,0.439705359398723,0.45409669950479,0.464628218239463,0.470645267710037,0.483286462719645,0.494181451351627,0.502404921878473,0.506852063667519,0.515611240983976
0.714478672910944,0.712047170484695,0.713363112858134,0.710464215797033,0.700704480812026,0.701835795740168,0.704601268700801,0.708206181112721,0.704084804193821,0.702965387478821
0.707049100398879,0.710404724731326,0.718205275323476,0.718465230766455,0.715315158323107,0.71267884251754,0.719100513291564,0.72107151384092,0.721894131680525,0.72000092082812
0.747493834735726,0.747606334392394,0.741719837039806,0.74424627900126,0.729819572482338,0.735859515756129,0.732435538240601,0.738791481644099,0.7299820446342,0.727529535707508
0.62037357170284,0.618227708448627,0.618953499450253,0.612838802575277,0.607401647396222,0.605723671116714,0.60780130427281,0.601257204988393,0.604206689969506,0.606782365916373
0.874858216279616,0.875507038150713,0.870947971101495,0.870191737085555,0.862230273417748,0.863043536800124,0.858763544391553,0.859609466317586,0.854614022044326,0.848046864843408
0.887809462312361,0.886338022601659,0.89794148828373,0.899293781749733,0.897617610716357,0.892615437798424,0.89342418806547,0.89360783083106,0.886616358732526,0.88398529455207
0.765584370335778,0.764487601254067,0.767009940383404,0.762664630887519,0.748652966865626,0.738475727684319,0.737642688651136,0.73967982685423,0.740244376553629,0.738464321811032
