eau_id,wmd_id,year,rcp,gcm,prop_suitable,abs_abundance,scaled_abundance,trans_prob,cost,eau_row,total_prop_suitable,habitat_share
3,Arrowwood,2100,85,dry,0.542496238256698,140613.6384,4730.763568029727,NA,NA,3,16.124747893786147,0.033643703568584475
3,Arrowwood,2100,85,wet,0.542496238256698,277661.8998,9341.574649161206,NA,NA,3,16.124747893786147,0.033643703568584475
3,Arrowwood,2100,stationary,stationary,0.559495297428471,377952.1345,12221.042354731373,NA,NA,NA,17.303142871764564,0.032334894393171824
4,Arrowwood,2020,baseline,baseline,0.671973414227933,377952.1345,14677.899160685822,NA,NA,NA,17.303142871764564,0.0388353387132037
4,Arrowwood,2030,45,dry,0.667800998077489,325719.4731333333,12806.212881511863,NA,NA,4,16.98517674696304,0.039316694081319596
4,Arrowwood,2030,45,wet,0.667800998077489,344932.7533333333,13561.615541433937,NA,NA,4,16.98517674696304,0.039316694081319596
4,Arrowwood,2030,85,dry,0.667803623890044,302184.3961333333,11880.624103074153,NA,NA,4,16.98562576091,0.03931580933726322
4,Arrowwood,2030,85,wet,0.667803623890044,375952.90129999997,14780.892587301736,NA,NA,4,16.98562576091,0.03931580933726322
4,Arrowwood,2030,stationary,stationary,0.671973414227933,377952.1345,14677.899160685822,NA,NA,NA,17.303142871764564,0.0388353387132037
4,Arrowwood,2040,45,dry,0.64744459138378,273486.81176666665,10655.455476725167,NA,NA,4,16.617549337040817,0.038961496563191436
4,Arrowwood,2040,45,wet,0.64744459138378,311913.37216666667,12152.611777685035,NA,NA,4,16.617549337040817,0.038961496563191436
4,Arrowwood,2040,85,dry,0.64751811413533,226416.65776666667,8815.424974147514,NA,NA,4,16.630949463678473,0.03893452478762511
4,Arrowwood,2040,85,wet,0.64751811413533,373953.6681,14559.708360062783,NA,NA,4,16.630949463678473,0.03893452478762511
4,Arrowwood,2040,stationary,stationary,0.671973414227933,377952.1345,14677.899160685822,NA,NA,NA,17.303142871764564,0.0388353387132037
4,Arrowwood,2050,45,dry,0.629880531201074,221254.1504,8611.756200851483,NA,NA,4,16.182957173197124,0.03892246172685348
4,Arrowwood,2050,45,wet,0.629880531201074,278893.991,10855.240690546918,NA,NA,4,16.182957173197124,0.03892246172685348
4,Arrowwood,2050,85,dry,0.629975060453067,150648.9194,5855.748036447852,NA,NA,4,16.207162862112227,0.038870162891111
